"",""
"Action","Action"
"Add Category","Add Category"
"Add Product","Add Product"
"An error occurred while updating the categories.","An error occurred while updating the categories."
"An error occurred while updating the products.","An error occurred while updating the products."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Categories","Categories"
"Category Code","Category Code"
"Category Id","Category Id"
"Category was saved","Category was saved"
"Category was successfully deleted.","Category was successfully deleted."
"Category was successfully saved","Category was successfully saved"
"Category","Category"
"Change status","Change status"
"Content","Content"
"Could not find category to delete.","Could not find category to delete."
"Could not find product to delete.","Could not find product to delete."
"Created at","Created at"
"Delete Category","Delete Category"
"Delete Product","Delete Product"
"Delete","Delete"
"Disabled","Disabled"
"Edit Category '%s'","Edit Category '%s'"
"Edit Product '%s'","Edit Product '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving category","Error saving category"
"Error saving product","Error saving product"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Peice Category Id","Peice Category Id"
"Piece Code","Piece Code"
"Please select categories to delete.","Please select categories to delete."
"Please select categories.","Please select categories."
"Please select products to delete.","Please select products to delete."
"Please select products.","Please select products."
"Product was saved","Product was saved"
"Product was successfully deleted.","Product was successfully deleted."
"Product was successfully saved","Product was successfully saved"
"Product","Product"
"Products","Products"
"Reset","Reset"
"SKU","SKU"
"Save And Continue Edit","Save And Continue Edit"
"Save Category","Save Category"
"Save Product","Save Product"
"Status","Status"
"Store views","Store views"
"Sub Category Code","Sub Category Code"
"Sub Category Id","Sub Category Id"
"The categories has been deleted.","The categories has been deleted."
"The products has been deleted.","The products has been deleted."
"There was a problem saving the category.","There was a problem saving the category."
"There was a problem saving the product.","There was a problem saving the product."
"There was an error deleting categories.","There was an error deleting categories."
"There was an error deleting category.","There was an error deleting category."
"There was an error deleting product.","There was an error deleting product."
"There was an error deleting products.","There was an error deleting products."
"There was an error updating categories.","There was an error updating categories."
"There was an error updating products.","There was an error updating products."
"This category no longer exists.","This category no longer exists."
"This product no longer exists.","This product no longer exists."
"Total of %d categories were successfully deleted.","Total of %d categories were successfully deleted."
"Total of %d categories were successfully updated.","Total of %d categories were successfully updated."
"Total of %d products were successfully deleted.","Total of %d products were successfully deleted."
"Total of %d products were successfully updated.","Total of %d products were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find category to save.","Unable to find category to save."
"Unable to find product to save.","Unable to find product to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"